codigo_cliente,email,ddd,telefone,codigo_endereco
1,maria.silva@email.com,011,987654321,1
2,joao.santos@email.com,021,912345678,2
3,ana.oliveira@email.com,031,976543210,3
4,carlos.ferreira@email.com,047,998765432,4
5,juliana.costa@email.com,019,965432198,5
6,roberto.almeida@email.com,081,943218765,6
7,patricia.lima@email.com,027,932165478,7
8,felipe.martins@email.com,041,987612345,8
9,camila.rodrigues@email.com,051,976541238,9
10,leonardo.gomes@email.com,061,954321876,10
11,isabela.pereira@email.com,062,943217654,11
12,gabriel.souza@email.com,071,932156789,12
13,rafaela.fernandes@email.com,085,921876543,13
14,diego.cardoso@email.com,084,954123789,14
15,amanda.ribeiro@email.com,083,967891234,15
16,lucas.barbosa@email.com,017,945678123,16
17,beatriz.nascimento@email.com,014,934567812,17
18,marcos.campos@email.com,016,956781234,18
19,laura.vieira@email.com,013,923456789,19
20,guilherme.moreira@email.com,015,945612378,20
21,carolina.freitas@email.com,022,932145678,21
22,vitor.andrade@email.com,024,921654387,22
23,julia.mendes@email.com,028,943217865,23
24,ricardo.castro@email.com,088,965432187,24
25,larissa.carvalho@email.com,086,932178654,25
26,douglas.duarte@email.com,087,945612389,26
27,leticia.teixeira@email.com,089,954321678,27
28,matheus.rocha@email.com,082,934561278,28
29,luiza.correia@email.com,091,921543768,29
30,henrique.barros@email.com,092,943218756,30
31,fernanda.santos@email.com,093,932165487,31
32,bruno.pinto@email.com,094,965432178,32
33,bianca.marques@email.com,095,943217865,33
34,pedro.cunha@email.com,096,956781243,34
35,valentina.melo@email.com,097,987654312,35
36,thiago.dias@email.com,098,932156478,36
37,natalia.farias@email.com,099,921876534,37
38,gustavo.machado@email.com,018,967812345,38
39,vitoria.oliveira@email.com,012,945678132,39
40,rodrigo.silva@email.com,043,956743281,40
41,aline.costa@email.com,044,987632145,41
42,fabio.ferreira@email.com,045,965432178,42
43,lorena.almeida@email.com,046,932165478,43
44,marcelo.lima@email.com,048,921876543,44
45,renata.martins@email.com,049,945678132,45
46,andre.rodrigues@email.com,011,954321876,46
47,cristina.gomes@email.com,021,932156789,47
48,daniel.pereira@email.com,031,921876543,48
49,elaine.souza@email.com,047,945678123,49
50,fernando.fernandes@email.com,019,932167845,50
51,gisele.cardoso@email.com,081,921843765,51
52,hugo.ribeiro@email.com,027,956743281,52
53,iris.barbosa@email.com,041,945678132,53
54,jefferson.nascimento@email.com,051,932156478,54
55,karina.campos@email.com,061,921876534,55
