codigo_cliente,cpf,nome
1,12345678901,Maria Silva
2,23456789012,João Santos
3,34567890123,Ana Oliveira
4,45678901234,Carlos Ferreira
5,56789012345,Juliana Costa
6,67890123456,Roberto Almeida
7,78901234567,Patricia Lima
8,89012345678,Felipe Martins
9,90123456789,Camila Rodrigues
10,01234567890,Leonardo Gomes
11,10234567891,Isabela Pereira
12,20345678912,Gabriel Souza
13,30456789013,Rafaela Fernandes
14,40567890124,Diego Cardoso
15,50678901235,Amanda Ribeiro
16,60789012346,Lucas Barbosa
17,70890123457,Beatriz Nascimento
18,80901234568,Marcos Campos
19,90012345679,Laura Vieira
20,00123456780,Guilherme Moreira
21,10234557891,Carolina Freitas
22,20345678902,Vitor Andrade
23,40456789013,Julia Mendes
24,99567890124,Ricardo Castro
25,55678901235,Larissa Carvalho
26,66789012346,Douglas Duarte
27,77890123457,Leticia Teixeira
28,88901234568,Matheus Rocha
29,00012345679,Luiza Correia
30,11123456780,Henrique Barros
31,30234567891,Fernanda Santos
32,22345678902,Bruno Pinto
33,33456789013,Bianca Marques
34,44567890124,Pedro Cunha
35,55678991235,Valentina Melo
36,66789022346,Thiago Dias
37,77890333457,Natalia Farias
38,88902224568,Gustavo Machado
39,90045645679,Vitoria Oliveira
40,00123000780,Rodrigo Silva
41,12345678911,Aline Costa
42,23456789022,Fabio Ferreira
43,34567890133,Lorena Almeida
44,45678901244,Marcelo Lima
45,56789012355,Renata Martins
46,67890123466,Andre Rodrigues
47,78901234577,Cristina Gomes
48,89012345688,Daniel Pereira
49,90123456799,Elaine Souza
50,01234567800,Fernando Fernandes
51,11234567901,Gisele Cardoso
52,22345678012,Hugo Ribeiro
53,33456789123,Iris Barbosa
54,44567890234,Jefferson Nascimento
55,55678901345,Karina Campos
56,66789012456,Luciano Vieira
57,77890123567,Marcia Moreira
58,88901234678,Nelson Freitas
59,99012345789,Olivia Andrade
60,00123456890,Paulo Mendes
61,11255567901,Quintino Castro
62,22345668012,Raquel Carvalho
63,33456999123,Samuel Duarte
64,44588890234,Talita Teixeira
65,55670001345,Ulisses Rocha
66,66789012126,Vanessa Correia
67,00090123567,Wagner Barros
68,88902020678,Xuxa Pinto
69,99012340000,Yasmin Marques
70,33123456890,Zacarias Cunha
71,12345670001,Angela Melo
72,23456780002,Bernardo Dias
73,34567890003,Cecilia Farias
74,45678900004,Dante Machado
75,56789000005,Eduarda Lopes
76,67890000006,Fabiano Xavier
77,78900000007,Giovanna Borges
78,89000000008,Heitor Viana
79,90000000009,Ingrid Soares
80,00000000010,Julio Peixoto
81,10000000011,Kamila Santos
82,20000000012,Leandro Silva
83,30000000013,Melissa Oliveira
84,40000000014,Natan Ferreira
85,50000000015,Otavio Costa
86,60000000016,Poliana Almeida
87,70000000017,Queiroz Lima
88,80000000018,Rebeca Martins
89,90000000019,Sergio Rodrigues
90,00000000020,Tamires Gomes
91,10000000021,Umberto Pereira
92,20000000022,Vivian Souza
93,30000000023,William Fernandes
94,40000000024,Ximena Cardoso
95,50000000025,Yuri Ribeiro
96,60000000026,Zelia Barbosa
97,70000000027,Arnaldo Nascimento
98,80000000028,Bruna Campos
99,90000000029,Claudio Vieira
100,00000000030,Denise Moreira
101,10000000031,Ernesto Freitas
102,20000000032,Flavia Andrade
103,30000000033,Gilberto Mendes
104,40000000034,Helena Castro
105,50000000035,Ivo Carvalho
106,60000000036,Joice Duarte
107,70000000037,Kelvin Teixeira
108,80000000038,Livia Rocha
109,90000000039,Murilo Correia
110,00000000040,Neide Barros
111,10000000041,Orlando Pinto
112,20000000042,Priscila Marques
113,30000000043,Quirino Cunha
114,40000000044,Regina Melo
115,50000000045,Silvio Dias
116,60000000046,Tatiane Farias
117,70000000047,Ugo Machado
118,80000000048,Valeria Lopes
119,90000000049,Wilson Xavier
120,00000000050,Yana Borges
121,10000000051,Zeus Viana
122,20000000052,Adriana Soares
123,30000000053,Bruno Peixoto
124,40000000054,Carla Santos
125,50000000055,Davi Silva
126,60000000056,Eva Oliveira
127,70000000057,Fabio Ferreira
128,80000000058,Gabriela Costa
129,90000000059,Haroldo Almeida
130,00000000060,Isadora Lima
131,10000000061,Jonas Martins
132,20000000062,Katia Rodrigues
133,30000000063,Lucio Gomes
134,40000000064,Monica Pereira
135,50000000065,Nivaldo Souza
136,60000000066,Olga Fernandes
137,70000000067,Paulo Cardoso
138,80000000068,Queila Ribeiro
139,90000000069,Ronaldo Barbosa
140,00000000070,Silvia Nascimento
141,10000000071,Tadeu Campos
142,20000000072,Ursula Vieira
143,30000000073,Vinicius Moreira
144,40000000074,Wanda Freitas
145,50000000075,Xavier Andrade
146,60000000076,Yara Mendes
147,70000000077,Zulmira Castro
148,80000000078,Alex Carvalho
149,90000000079,Beatriz Duarte
150,00000000080,Ciro Teixeira
151,10000000081,Dalila Rocha
152,20000000082,Elton Correia
153,30000000083,Flora Barros
154,40000000084,Geraldo Pinto
155,50000000085,Hilda Marques
156,60000000086,Igor Cunha
157,70000000087,Janaina Melo
158,80000000088,Klaus Dias
159,90000000089,Luana Farias
160,00000000090,Mauro Machado
161,10000000091,Nadia Lopes
162,20000000092,Oscar Xavier
163,30000000093,Pamela Borges
164,40000000094,Quincas Viana
165,50000000095,Roberta Soares
166,60000000096,Saulo Peixoto
167,70000000097,Tania Santos
168,80000000098,Ulisses Silva
169,90000000099,Vera Oliveira
170,00000000100,Wagner Ferreira
171,10000000101,Ximena Costa
172,20000000102,Yan Almeida
173,30000000103,Zelia Lima
174,40000000104,Arthur Martins
175,50000000105,Bia Rodrigues
176,60000000106,Caio Gomes
177,70000000107,Diana Pereira
178,80000000108,Edson Souza
179,90000000109,Fatima Fernandes
180,00000000110,Gilson Cardoso
181,10000000111,Hortencia Ribeiro
182,20000000112,Ivan Barbosa
183,30000000113,Josefa Nascimento
184,40000000114,Kevin Campos
185,50000000115,Lais Vieira
186,60000000116,Milton Moreira
187,70000000117,Natasha Freitas
188,80000000118,Otavio Andrade
189,90000000119,Poliana Mendes
190,00000000120,Quintino Castro
191,10000000121,Robson Carvalho
192,20000000122,Simone Duarte
193,30000000123,Thales Teixeira
194,40000000124,Ursula Rocha
195,50000000125,Vagner Correia
196,60000000126,Waldemar Barros
197,70000000127,Xuxa Pinto
198,80000000128,Yasmin Marques
199,90000000129,Zeca Cunha
200,00000000130,Andrea Melo
