codigo_contato,email,ddd,telefone,eh_whatsapp
1,ana.silva@email.com,011,987654321,1
2,joao.santos@email.com,011,976543210,1
3,maria.lima@email.com,011,965432109,0
4,carlos.costa@email.com,011,954321098,1
5,juliana.souza@email.com,011,943210987,0
6,roberto.gomes@email.com,011,932109876,1
7,sandra.oliveira@email.com,011,921098765,0
8,antonio.ferreira@email.com,011,910987654,1
9,patricia.dias@email.com,011,909876543,0
10,fernando.ribeiro@email.com,011,898765432,1
11,luciana.santos@email.com,021,987654321,0
12,marcelo.silva@email.com,021,976543210,1
13,claudia.martins@email.com,021,965432109,0
14,paulo.alves@email.com,021,954321098,1
15,cristina.oliveira@email.com,021,943210987,0
16,ricardo.lima@email.com,021,932109876,1
17,adriana.costa@email.com,021,921098765,0
18,jose.machado@email.com,021,910987654,1
19,fernanda.nunes@email.com,021,909876543,0
20,rafael.mendes@email.com,021,898765432,1
21,carla.pereira@email.com,031,987654321,0
22,roberto.lima@email.com,031,976543210,1
23,denise.gomes@email.com,031,965432109,0
24,eduardo.souza@email.com,031,954321098,1
25,monica.oliveira@email.com,031,943210987,0
26,andre.castro@email.com,031,932109876,1
27,viviane.silva@email.com,031,921098765,0
28,lucas.santos@email.com,031,910987654,1
29,renata.lima@email.com,031,909876543,0
30,alexandre.costa@email.com,031,898765432,1
31,beatriz.silva@email.com,041,987654321,0
32,diego.oliveira@email.com,041,976543210,1
33,elaine.souza@email.com,041,965432109,0
34,fabio.costa@email.com,041,954321098,1
35,gisele.silva@email.com,041,943210987,0
36,henrique.lima@email.com,041,932109876,1
37,isabela.ferreira@email.com,041,921098765,0
38,jorge.gomes@email.com,041,910987654,1
39,karen.santos@email.com,041,909876543,0
40,leonardo.silva@email.com,041,898765432,1
41,marina.lima@email.com,047,987654321,0
42,nelson.costa@email.com,047,976543210,1
43,olga.santos@email.com,047,965432109,0
44,pedro.lima@email.com,047,954321098,1
45,queila.silva@email.com,047,943210987,0
46,rodrigo.costa@email.com,047,932109876,1
47,silvia.ferreira@email.com,047,921098765,0
48,thiago.santos@email.com,047,910987654,1
49,ursula.pereira@email.com,047,909876543,0
50,victor.silva@email.com,047,898765432,1
51,waldemar.gomes@email.com,051,987654321,0
52,ximena.santos@email.com,051,976543210,1
53,yuri.costa@email.com,051,965432109,0
54,zelia.lima@email.com,051,954321098,1
55,amanda.silva@email.com,051,943210987,0
56,bruno.ferreira@email.com,051,932109876,1
57,camila.costa@email.com,051,921098765,0
58,douglas.oliveira@email.com,051,910987654,1
59,erica.santos@email.com,051,909876543,0
60,felipe.pereira@email.com,051,898765432,1
61,gloria.costa@email.com,061,987654321,0
62,hugo.lima@email.com,061,976543210,1
63,ivone.silva@email.com,061,965432109,0
64,julio.santos@email.com,061,954321098,1
65,kelly.lima@email.com,061,943210987,0
66,leandro.costa@email.com,061,932109876,1
67,mariana.silva@email.com,061,921098765,0
68,norberto.santos@email.com,061,910987654,1
69,olivia.costa@email.com,061,909876543,0
70,paulo.lima@email.com,061,898765432,1
71,quenia.silva@email.com,071,987654321,0
72,ronaldo.santos@email.com,071,976543210,1
73,solange.costa@email.com,071,965432109,0
74,tadeu.silva@email.com,071,954321098,1
75,ulisses.lima@email.com,071,943210987,0
76,valeria.ferreira@email.com,071,932109876,1
77,wagner.santos@email.com,071,921098765,0
78,xande.costa@email.com,071,910987654,1
79,yasmin.lima@email.com,071,909876543,0
80,zacarias.silva@email.com,071,898765432,1
81,alice.costa@email.com,081,987654321,0
82,bernardo.santos@email.com,081,976543210,1
83,clara.pereira@email.com,081,965432109,0
84,dante.lima@email.com,081,954321098,1
85,elisa.silva@email.com,081,943210987,0
86,flavio.santos@email.com,081,932109876,1
87,giovana.costa@email.com,081,921098765,0
88,humberto.lima@email.com,081,910987654,1
89,ingrid.silva@email.com,081,909876543,0
90,joel.santos@email.com,081,898765432,1
91,karina.costa@email.com,082,987654321,0
92,leopoldo.lima@email.com,082,976543210,1
93,marta.silva@email.com,082,965432109,0
94,nilo.santos@email.com,082,954321098,1
95,otavio.costa@email.com,082,943210987,0
