codigo_endereco,logradouro,numero,complemento,cep,bairro,cidade,estado
1,Rua das Flores,123,Apto 101,12345678,Centro,São Paulo,São Paulo
2,Avenida Paulista,1500,Sala 302,01310100,Bela Vista,São Paulo,São Paulo
3,Rua Augusta,789,Casa,01305000,Consolação,São Paulo,São Paulo
4,Avenida Brigadeiro Faria Lima,2500,Conjunto 45,04538132,Itaim Bibi,São Paulo,São Paulo
5,Rua Oscar Freire,987,,01426001,Jardins,São Paulo,São Paulo
6,Alameda Santos,456,Bloco B,01419000,Cerqueira César,São Paulo,São Paulo
7,Rua da Consolação,1234,,01301000,Consolação,São Paulo,São Paulo
8,Avenida Rebouças,3210,Apto 505,05401200,Pinheiros,São Paulo,São Paulo
9,Rua Haddock Lobo,654,Casa 2,01414001,Cerqueira César,São Paulo,São Paulo
10,Avenida São João,876,5º Andar,01035000,República,São Paulo,São Paulo
11,Rua Barão de Itapetininga,345,,01042001,República,São Paulo,São Paulo
12,Avenida Ipiranga,910,Apto 1001,01046010,República,São Paulo,São Paulo
13,Rua Xavier de Toledo,111,Sala 25,01048000,República,São Paulo,São Paulo
14,Avenida Angélica,2356,,01228200,Consolação,São Paulo,São Paulo
15,Rua Peixoto Gomide,789,Bloco C,01409001,Jardim Paulista,São Paulo,São Paulo
16,Avenida Nove de Julho,3456,Apto 801,01313001,Bela Vista,São Paulo,São Paulo
17,Rua Pamplona,654,,01405000,Jardim Paulista,São Paulo,São Paulo
18,Avenida Brigadeiro Luís Antônio,1978,Casa Fundos,01317001,Bela Vista,São Paulo,São Paulo
19,Rua Frei Caneca,456,Apto 304,01307001,Consolação,São Paulo,São Paulo
20,Avenida Paulista,2800,Sala 1501,01310100,Bela Vista,São Paulo,São Paulo
21,Rua Itapeva,340,,01332000,Bela Vista,São Paulo,São Paulo
22,Avenida Higienópolis,1200,Apto 102,01238000,Higienópolis,São Paulo,São Paulo
23,Rua Alagoas,546,,01242001,Higienópolis,São Paulo,São Paulo
24,Avenida Pacaembu,1543,Casa 3,01234000,Pacaembu,São Paulo,São Paulo
25,Rua dos Ingleses,300,Apto 401,01329000,Morro dos Ingleses,São Paulo,São Paulo
26,Avenida Brasil,768,,01430000,Jardim América,São Paulo,São Paulo
27,Rua Augusta,1700,Loja 3,01305000,Cerqueira César,São Paulo,São Paulo
28,Avenida Europa,432,,01449001,Jardim Europa,São Paulo,São Paulo
29,Rua Estados Unidos,897,,01427000,Jardim América,São Paulo,São Paulo
30,Avenida Santo Amaro,1245,Apto 605,04505002,Vila Nova Conceição,São Paulo,São Paulo
31,Rua João Cachoeira,680,,04535001,Itaim Bibi,São Paulo,São Paulo
32,Avenida Moema,950,Bloco D,04077000,Moema,São Paulo,São Paulo
33,Rua Turiassú,734,,05005001,Perdizes,São Paulo,São Paulo
34,Avenida Francisco Matarazzo,1500,Apto 708,05001100,Água Branca,São Paulo,São Paulo
35,Rua Cardeal Arcoverde,432,,05407001,Pinheiros,São Paulo,São Paulo
36,Avenida Sumaré,867,,01255090,Perdizes,São Paulo,São Paulo
37,Rua Clélia,293,Casa 1,05042000,Pompeia,São Paulo,São Paulo
38,Avenida Dr. Arnaldo,1890,,01255000,Sumaré,São Paulo,São Paulo
39,Rua Heitor Penteado,540,Apto 302,05438000,Sumaré,São Paulo,São Paulo
40,Avenida Pompeia,1765,,05023000,Pompeia,São Paulo,São Paulo
41,Rua Coriolano,385,,05047000,Vila Romana,São Paulo,São Paulo
42,Avenida Pedroso de Morais,997,,05420000,Pinheiros,São Paulo,São Paulo
43,Rua dos Pinheiros,726,Sala 12,05422001,Pinheiros,São Paulo,São Paulo
44,Avenida Brigadeiro Faria Lima,1234,11º Andar,01452001,Jardim Paulistano,São Paulo,São Paulo
45,Rua Harmonia,123,,05435000,Vila Madalena,São Paulo,São Paulo
46,Avenida Henrique Schaumann,546,,05413010,Pinheiros,São Paulo,São Paulo
47,Rua Teodoro Sampaio,1020,Loja 2,05406000,Pinheiros,São Paulo,São Paulo
48,Avenida Rebouças,2345,Conjunto 1203,05401200,Pinheiros,São Paulo,São Paulo
49,Rua Mourato Coelho,780,,05417000,Pinheiros,São Paulo,São Paulo
50,Avenida Paulo VI,432,,05657000,Sumaré,São Paulo,São Paulo
51,Rua Apinajés,600,Casa 4,05017000,Perdizes,São Paulo,São Paulo
52,Avenida Alfonso Bovero,890,Apto 507,05019010,Perdizes,São Paulo,São Paulo
53,Rua Caio Graco,321,,05043050,Lapa,São Paulo,São Paulo
54,Avenida São João,4321,Apto 1103,05003000,Água Branca,São Paulo,São Paulo
55,Rua Aurélia,543,,05046000,Vila Romana,São Paulo,São Paulo
56,Avenida Pompeia,2356,,05022000,Pompeia,São Paulo,São Paulo
57,Rua Guaicurus,768,,05033001,Lapa,São Paulo,São Paulo
58,Avenida Clélia,1290,Casa Fundos,05042000,Lapa,São Paulo,São Paulo
59,Rua Faustolo,435,,05041000,Lapa,São Paulo,São Paulo
60,Avenida Marquês de São Vicente,2100,Bloco A,05036000,Água Branca,São Paulo,São Paulo
61,Rua Barra Funda,876,,01152000,Barra Funda,São Paulo,São Paulo
62,Avenida Angélica,1654,Apto 805,01228200,Higienópolis,São Paulo,São Paulo
63,Rua Maranhão,321,,01240001,Higienópolis,São Paulo,São Paulo
64,Avenida Dr. Arnaldo,987,Sala 45,01255000,Cerqueira César,São Paulo,São Paulo
65,Rua Piauí,654,,01241000,Higienópolis,São Paulo,São Paulo
66,Avenida Rebouças,1876,Apto 503,01310100,Jardim Paulista,São Paulo,São Paulo
67,Rua Haddock Lobo,432,,01414001,Cerqueira César,São Paulo,São Paulo
68,Avenida Nove de Julho,5432,15º Andar,01407100,Jardim Paulista,São Paulo,São Paulo
69,Rua Augusta,2345,Apto 701,01305000,Consolação,São Paulo,São Paulo
70,Avenida Paulista,3210,Sala 2201,01310100,Bela Vista,São Paulo,São Paulo
71,Rua da Consolação,2134,,01301000,Consolação,São Paulo,São Paulo
72,Avenida São Luís,789,Apto 908,01046001,República,São Paulo,São Paulo
73,Rua Bela Cintra,432,,01415000,Consolação,São Paulo,São Paulo
74,Avenida Brigadeiro Luís Antônio,3210,Casa 2,01317001,Bela Vista,São Paulo,São Paulo
75,Rua Major Sertório,765,,01222000,Vila Buarque,São Paulo,São Paulo
76,Avenida Ipiranga,1234,Apto 1203,01046010,República,São Paulo,São Paulo
77,Rua General Jardim,543,,01223010,Vila Buarque,São Paulo,São Paulo
78,Avenida São João,1234,5º Andar,01035000,República,São Paulo,São Paulo
79,Rua Amaral Gurgel,876,,01221001,Vila Buarque,São Paulo,São Paulo
80,Avenida Paulista,1000,Conjunto 1502,01310100,Bela Vista,São Paulo,São Paulo
81,Rua Augusta,3000,,01305000,Cerqueira César,São Paulo,São Paulo
82,Avenida Rebouças,1111,Apto 607,05401200,Pinheiros,São Paulo,São Paulo
83,Rua Oscar Freire,1500,,01426001,Jardins,São Paulo,São Paulo
84,Avenida Brigadeiro Faria Lima,3210,Sala 405,04538132,Itaim Bibi,São Paulo,São Paulo
85,Rua Haddock Lobo,1234,,01414001,Cerqueira César,São Paulo,São Paulo
86,Avenida Paulista,4000,Apto 1805,01310100,Bela Vista,São Paulo,São Paulo
87,Rua Pamplona,876,,01405000,Jardim Paulista,São Paulo,São Paulo
88,Avenida Europa,1234,,01449001,Jardim Europa,São Paulo,São Paulo
89,Rua Estados Unidos,543,,01427000,Jardim América,São Paulo,São Paulo
90,Avenida Brasil,876,,01430000,Jardim América,São Paulo,São Paulo
91,Rua João Cachoeira,432,,04535001,Itaim Bibi,São Paulo,São Paulo
92,Avenida Santo Amaro,2345,Apto 304,04505002,Vila Nova Conceição,São Paulo,São Paulo
93,Rua Joaquim Floriano,876,,04534011,Itaim Bibi,São Paulo,São Paulo
94,Avenida Juscelino Kubitschek,1000,Conjunto 512,04543011,Vila Nova Conceição,São Paulo,São Paulo
95,Rua Tabapuã,543,,04533001,Itaim Bibi,São Paulo,São Paulo
96,Avenida Cidade Jardim,876,Apto 1101,01453000,Jardim Europa,São Paulo,São Paulo
97,Rua Gabriel Monteiro da Silva,432,,01441000,Jardim América,São Paulo,São Paulo
98,Avenida Higienópolis,765,Apto 906,01238000,Higienópolis,São Paulo,São Paulo
99,Rua Maranhão,987,,01240001,Higienópolis,São Paulo,São Paulo
100,Avenida Angélica,1500,Casa 3,01228200,Higienópolis,São Paulo,São Paulo
101,Rua Sergipe,432,,01243000,Higienópolis,São Paulo,São Paulo
102,Avenida Dr. Arnaldo,2345,Apto 504,01255000,Sumaré,São Paulo,São Paulo
103,Rua Cardoso de Almeida,876,,05013000,Perdizes,São Paulo,São Paulo
104,Avenida Sumaré,1500,,01255090,Perdizes,São Paulo,São Paulo
105,Rua Turiassú,876,,05005001,Perdizes,São Paulo,São Paulo
106,Avenida Francisco Matarazzo,2345,Apto 903,05001100,Água Branca,São Paulo,São Paulo
107,Rua Carlos Weber,654,,05303000,Vila Leopoldina,São Paulo,São Paulo
108,Avenida Imperatriz Leopoldina,876,,05305000,Vila Leopoldina,São Paulo,São Paulo
109,Rua Guaipá,432,,05089000,Vila Leopoldina,São Paulo,São Paulo
110,Avenida Queiroz Filho,1234,Apto 605,05319000,Alto de Pinheiros,São Paulo,São Paulo
111,Rua Natingui,876,,05443000,Alto de Pinheiros,São Paulo,São Paulo
112,Avenida São Gualter,432,,05455000,Alto de Pinheiros,São Paulo,São Paulo
113,Rua Girassol,876,,05433001,Vila Madalena,São Paulo,São Paulo
114,Avenida Professor Alfonso Bovero,1234,Apto 802,01254000,Sumaré,São Paulo,São Paulo
115,Rua Heitor Penteado,876,,05438000,Sumaré,São Paulo,São Paulo
116,Avenida Henrique Schaumann,1234,Sala 301,05413010,Pinheiros,São Paulo,São Paulo
117,Rua dos Pinheiros,876,,05422001,Pinheiros,São Paulo,São Paulo
118,Avenida Rebouças,4321,Apto 1206,05401200,Pinheiros,São Paulo,São Paulo
119,Rua Teodoro Sampaio,1500,,05406000,Pinheiros,São Paulo,São Paulo
