codigo_cliente,nome_cliente,cpf
1,Ana Maria Silva,12345678901
2,João Carlos Santos,23456789012
3,Maria Fernanda Lima,34567890123
4,Carlos Alberto Costa,45678901234
5,Juliana Pereira Souza,56789012345
6,Roberto Almeida Gomes,67890123456
7,Sandra Regina Oliveira,78901234567
8,Antonio Marcos Ferreira,89012345678
9,Patricia Cardoso Dias,90123456789
10,Fernando José Ribeiro,01234567890
11,Luciana Moura Santos,11223344556
12,Marcelo Gomes Silva,22334455667
13,Claudia Regina Martins,33445566778
14,Paulo Roberto Alves,44556677889
15,Cristina Souza Oliveira,55667788990
16,Ricardo Pereira Lima,66778899001
17,Adriana Ferreira Costa,77889900112
18,José Carlos Machado,88990011223
19,Fernanda Silva Nunes,99001122334
20,Rafael Oliveira Mendes,00112233445
21,Carla Costa Pereira,11122233344
22,Roberto Santos Lima,22233344455
23,Denise Ferreira Gomes,33344455566
24,Eduardo Martins Souza,44455566677
25,Monica Alves Oliveira,55566677788
26,André Lima Castro,66677788899
27,Viviane Pereira Silva,77788899900
28,Lucas Oliveira Santos,88899900011
29,Renata Souza Lima,99900011122
30,Alexandre Ferreira Costa,00011122233
31,Beatriz Gomes Silva,11133344455
32,Diego Santos Oliveira,22244455566
33,Elaine Lima Souza,33355566677
34,Fabio Pereira Costa,44466677788
35,Gisele Martins Silva,55577788899
36,Henrique Alves Lima,66688899900
37,Isabela Souza Ferreira,77799900011
38,Jorge Oliveira Gomes,88800011122
39,Karen Lima Santos,99911122233
40,Leonardo Costa Silva,00022233344
41,Marina Ferreira Lima,11133344456
42,Nelson Souza Costa,22244455567
43,Olga Pereira Santos,33355566678
44,Pedro Oliveira Lima,44466677789
45,Queila Martins Silva,55577788890
46,Rodrigo Alves Costa,66688899901
47,Silvia Lima Ferreira,77799900012
48,Thiago Souza Santos,88800011123
49,Ursula Oliveira Pereira,99911122234
50,Victor Costa Silva,00022233345
51,Waldemar Lima Gomes,11133344457
52,Ximena Ferreira Santos,22244455568
53,Yuri Souza Costa,33355566679
54,Zelia Oliveira Lima,44466677780
55,Amanda Pereira Silva,55577788891
56,Bruno Santos Ferreira,66688899902
57,Camila Lima Costa,77799900013
58,Douglas Souza Oliveira,88800011124
59,Erica Ferreira Santos,99911122235
60,Felipe Lima Pereira,00022233346
61,Gloria Oliveira Costa,11133344458
62,Hugo Souza Lima,22244455569
63,Ivone Ferreira Silva,33355566670
64,Julio Pereira Santos,44466677781
65,Kelly Oliveira Lima,55577788892
66,Leandro Souza Costa,66688899903
67,Mariana Ferreira Silva,77799900014
68,Norberto Lima Santos,88800011125
69,Olivia Pereira Costa,99911122236
70,Paulo Souza Lima,00022233347
71,Quenia Oliveira Silva,11133344459
72,Ronaldo Ferreira Santos,22244455570
73,Solange Lima Costa,33355566671
74,Tadeu Pereira Silva,44466677782
75,Ulisses Souza Lima,55577788893
76,Valeria Oliveira Ferreira,66688899904
77,Wagner Lima Santos,77799900015
78,Xande Souza Costa,88800011126
79,Yasmin Pereira Lima,99911122237
80,Zacarias Oliveira Silva,00022233348
81,Alice Ferreira Costa,11133344460
82,Bernardo Lima Santos,22244455571
83,Clara Souza Pereira,33355566672
84,Dante Oliveira Lima,44466677783
85,Elisa Ferreira Silva,55577788894
86,Flavio Lima Santos,66688899905
87,Giovana Souza Costa,77799900016
88,Humberto Oliveira Lima,88800011127
89,Ingrid Ferreira Silva,99911122238
90,Joel Lima Santos,00022233349
91,Karina Souza Costa,11133344461
92,Leopoldo Oliveira Lima,22244455572
93,Marta Ferreira Silva,33355566673
94,Nilo Lima Santos,44466677784
95,Otavio Souza Costa,55577788895
96,Priscila Oliveira Lima,66688899906
97,Quirino Ferreira Silva,77799900017
98,Regina Lima Santos,88800011128
99,Sidnei Souza Costa,99911122239
100,Tania Oliveira Lima,00022233350
101,Ubirajara Ferreira Silva,11133344462
102,Virginia Lima Santos,22244455573
103,Wilson Souza Costa,33355566674
104,Xuxa Oliveira Lima,44466677785
105,Yago Ferreira Silva,55577788896
106,Zenilda Lima Santos,66688899907
107,Arthur Souza Costa,77799900018
108,Bianca Oliveira Lima,88800011129
109,Celso Ferreira Silva,99911122240
110,Daniela Lima Santos,00022233351
111,Ernesto Souza Costa,11133344463
112,Fabiana Oliveira Lima,22244455574
113,Guilherme Ferreira Silva,33355566675
114,Helena Lima Santos,44466677786
115,Igor Souza Costa,55577788897
116,Jaqueline Oliveira Lima,66688899908
117,Kevin Ferreira Silva,77799900019
118,Lorena Lima Santos,88800011130
119,Marcos Souza Costa,99911122241
120,Nicole Oliveira Lima,00022233352
121,Orlando Ferreira Silva,11133344464
122,Pamela Lima Santos,22244455575
123,Quintino Souza Costa,33355566676
124,Renato Oliveira Lima,44466677787
125,Sabrina Ferreira Silva,55577788898
126,Thales Lima Santos,66688899909
127,Ursula Souza Costa,77799900020
128,Vicente Oliveira Lima,88800011131
129,William Ferreira Silva,99911122242
130,Xuxa Lima Santos,00022233353
131,Yandra Souza Costa,11133344465
132,Ziraldo Oliveira Lima,22244455576
133,Aline Ferreira Silva,33355566000
134,Breno Lima Santos,44466677000
135,Cecilia Souza Costa,55577788000
136,Dario Oliveira Lima,66688899910
137,Ester Ferreira Silva,77799900021
138,Francisco Lima Santos,88800011132
139,Gabriela Souza Costa,99911122243
140,Heitor Oliveira Lima,00022233354
141,Iris Ferreira Silva,11133344466
142,Jonas Lima Santos,22244455577
143,Kátia Souza Costa,33355566111
144,Lucio Oliveira Lima,44466677111
145,Michele Ferreira Silva,55577788900
146,Nilton Lima Santos,66688899911
147,Olívia Souza Costa,77799900022
148,Pietro Oliveira Lima,88800011133
149,Quiteria Ferreira Silva,99911122244
150,Romulo Lima Santos,00022233355
